CustomerID,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,BikeBuyerText
21173,0,M,1,3,0,1,81916,1,50.97,YES
13249,0,M,1,2,1,2,81076,1,53.11,YES
29350,1,S,0,3,0,0,86387,1,54.08,YES
13503,0,M,1,2,1,2,61481,1,56.93,YES
22803,0,S,1,1,0,0,51804,1,55.41,YES
22092,1,M,1,2,2,2,61944,1,49.31,YES
11229,0,S,1,1,0,0,34919,0,56.01,NO
24179,1,M,0,1,0,0,61832,1,49.29,YES
12127,1,M,1,0,0,2,83834,1,50.05,YES
19903,0,S,0,1,0,0,26880,0,54.15,NO
25924,1,S,0,1,0,0,77258,0,54.02,NO
23033,0,M,1,3,0,0,102698,0,58.29,NO
20029,1,M,1,1,1,2,108198,1,52.66,YES
22031,0,M,1,2,0,2,133762,0,52.5,NO
23770,0,S,0,1,0,0,30526,0,49.61,NO
23737,1,M,1,2,0,2,56353,1,49.04,YES
17127,1,S,1,3,1,1,79019,1,50.48,YES
28130,0,S,0,2,0,0,55387,1,51,YES
28455,0,M,1,2,0,2,113276,0,58.69,NO
20161,0,S,1,1,0,1,109259,0,52.3,NO
21325,1,M,1,0,0,2,83845,0,50.38,NO
12128,1,M,1,0,2,2,59527,1,53.22,YES
23679,0,S,1,1,0,1,108360,0,51.88,NO
26799,0,M,0,1,0,0,87504,0,49.72,NO
15726,1,M,0,0,0,0,55461,1,48.76,YES
15473,1,S,1,2,0,0,137464,1,52.03,YES
28685,0,M,1,2,0,1,87676,1,49.89,YES
12302,0,M,1,3,0,2,104187,1,51.15,YES
23523,0,S,0,1,0,0,78222,1,53.53,YES
18713,1,M,1,2,0,1,77383,0,50.59,NO
24082,1,M,1,1,2,2,60700,1,49.29,YES
27886,1,S,0,0,0,0,30913,0,49,NO
21711,1,S,1,2,0,0,86952,1,54.71,YES
22366,0,M,1,2,1,2,58567,1,55.64,YES
15010,0,M,0,0,0,0,77478,0,50.55,NO
22296,0,M,1,2,0,1,78406,0,50.16,NO
23237,0,S,0,1,0,0,85318,0,51.02,NO
13832,1,S,0,0,0,0,52928,1,52.17,YES
26026,1,S,0,2,0,0,79224,1,52.31,YES
17813,0,M,0,0,0,1,33076,1,53.13,YES
26369,1,M,1,1,0,2,56641,0,48.89,NO
18824,0,M,1,0,0,1,27203,0,52.46,NO
21064,1,S,0,3,0,0,77098,0,50.21,NO
28532,0,M,1,3,2,2,103200,1,53.97,YES
16183,1,S,0,2,0,0,53784,0,50.85,NO
25700,1,S,0,1,0,0,25826,0,47.53,NO
21746,0,M,1,0,1,1,30925,1,50.48,YES
26560,1,M,1,1,1,2,30288,0,50.57,NO
16988,0,S,0,0,0,0,34685,1,48.1,YES
18562,1,M,0,1,1,1,58213,1,51.99,YES
14996,0,S,0,0,0,0,108342,1,51.43,YES
26741,1,M,1,2,1,1,130385,1,55.52,YES
19490,1,S,0,2,0,0,58227,1,50.76,YES
12720,0,S,0,1,0,0,52156,1,47.68,YES
14050,0,S,1,2,0,0,131458,1,57.1,YES
11926,0,S,0,1,0,0,33510,0,46.25,NO
28023,1,S,1,1,0,1,56785,0,51.34,NO
22541,1,S,0,1,0,0,58201,0,51.29,NO
23192,1,M,1,2,0,1,82359,1,49.64,YES
24957,1,M,1,2,1,2,55654,1,50.98,YES
11867,0,M,1,1,1,2,33167,0,58.85,NO
11929,1,S,1,3,0,1,107883,1,52.81,YES
27994,1,M,1,1,2,2,80056,1,53.16,YES
21068,0,S,0,2,0,0,54577,1,49.8,YES
26332,0,M,0,0,1,1,36070,1,59.05,YES
20232,0,M,1,2,1,2,54049,1,54.19,YES
15029,0,S,0,1,0,0,112726,0,55.8,NO
28907,0,M,1,1,0,2,29749,0,48.95,NO
11887,0,M,1,2,2,2,56820,1,55.26,YES
16809,1,S,1,3,0,0,102647,1,51.75,YES
18033,1,S,0,2,0,0,82258,1,51.48,YES
27605,0,M,1,1,2,2,54200,1,55.34,YES
14106,1,S,0,2,0,0,60908,1,51.97,YES
29293,0,S,1,2,0,0,105007,1,54.5,YES
17669,1,M,1,0,1,1,32319,1,48.12,YES
23540,0,S,0,1,0,0,52311,0,57.27,NO
19710,1,S,1,2,0,0,82851,0,54.25,NO
21495,0,M,1,1,2,2,29111,0,53.22,NO
14773,0,M,1,1,1,1,81985,1,52.19,YES
29082,1,S,1,0,0,0,33954,0,46.19,NO
14021,1,S,0,0,0,0,29016,0,45.76,NO
23689,1,M,1,0,1,2,33152,1,50.02,YES
13485,0,M,1,1,2,2,80331,1,53.77,YES
14179,1,S,1,1,1,1,79235,0,51.62,NO
15084,1,S,0,1,0,0,35390,0,50.42,NO
27193,0,S,0,3,0,0,136457,0,52.17,NO
20423,1,S,1,1,0,0,53549,0,53.1,NO
18300,1,M,1,0,1,2,85674,1,50.64,YES
21781,0,M,1,3,0,2,129242,1,52.48,YES
28780,1,M,1,1,2,2,61829,1,52.85,YES
25162,0,S,1,3,0,0,111980,1,59.52,YES
26829,1,M,1,0,1,1,54675,1,52.61,YES
11345,1,S,1,3,0,0,106648,1,53.81,YES
22539,0,S,0,1,0,0,58037,0,52.65,NO
26226,1,M,1,2,0,1,106062,1,51.69,YES
22654,0,S,0,1,0,0,28008,0,56.39,NO
20389,0,M,1,2,0,3,86828,0,50.62,NO
27716,0,S,0,2,0,0,61109,1,57.61,YES
23670,1,M,1,1,1,2,35142,0,47.02,NO
28410,1,M,0,2,0,0,59673,0,48.54,NO
21755,0,M,1,3,1,2,133272,1,56.63,YES
12254,0,S,1,3,0,1,81957,0,50.09,NO
17082,1,S,0,1,0,0,103314,0,52.78,NO
25122,1,S,1,2,0,0,103546,1,51.61,YES
25619,0,M,0,0,1,1,58317,1,48.05,YES
24940,0,M,1,2,0,2,55825,0,48.53,NO
13117,1,S,0,1,0,0,36367,0,48.33,NO
12460,1,S,0,2,0,0,107852,1,54.89,YES
13619,0,M,1,0,0,0,105888,0,51.31,NO
23455,0,S,0,1,0,0,31956,0,50.51,NO
20986,1,M,0,0,0,0,83026,1,50.25,YES
26141,0,S,1,2,0,0,110808,1,56.85,YES
19074,1,M,1,1,2,2,51566,1,50.94,YES
23214,1,M,1,3,1,2,132962,1,54.67,YES
11313,0,S,1,2,0,0,135064,1,55.61,YES
26113,1,S,1,2,0,0,135997,1,54.2,YES
15865,1,S,0,1,0,0,57770,0,49.68,NO
25060,0,S,0,1,0,0,113290,0,54.55,NO
17902,1,M,1,1,1,2,81214,0,54.11,NO
27898,1,M,1,2,0,2,80624,0,49.58,NO
19921,1,S,1,2,0,1,106908,0,53.03,NO
21186,0,S,0,1,0,0,51796,0,56.24,NO
19129,0,M,1,2,1,2,80764,1,52.27,YES
25626,1,M,0,0,0,1,35297,0,47.28,NO
15009,1,S,0,1,0,0,78604,0,51.54,NO
22070,0,M,1,3,0,0,102869,0,57.71,NO
13303,0,M,1,1,1,2,62293,1,54.24,YES
27822,0,S,0,1,0,0,34607,1,48.11,YES
14908,1,M,1,2,1,2,53042,1,50.06,YES
27981,1,S,0,1,0,0,106195,0,55.41,NO
15995,1,M,1,2,0,2,106360,1,51.7,YES
23808,0,M,1,2,1,1,110288,1,54.03,YES
18679,0,S,0,1,0,0,112590,1,52.71,YES
23721,0,M,1,0,1,2,30844,1,52.73,YES
21351,0,M,1,2,0,3,109611,0,51,NO
17867,1,S,1,2,0,0,111685,1,52.96,YES
16907,1,S,1,0,1,1,30259,1,49.14,YES
20288,0,S,0,2,0,0,82339,0,52.62,NO
22874,0,S,1,1,0,0,87633,1,61.12,YES
20681,0,S,0,1,0,0,80782,1,51.66,YES
15370,1,M,1,1,0,2,57125,1,48.74,YES
22593,0,S,0,2,0,0,56092,1,50.33,YES
11884,1,M,1,2,0,0,131943,1,52.71,YES
25021,0,M,1,2,0,2,52627,0,50.78,NO
15982,0,M,1,1,0,2,26331,0,53.52,NO
19088,0,S,0,1,0,0,27908,0,48.73,NO
19331,0,S,0,1,0,0,56751,0,60.78,NO
16587,0,M,1,1,1,2,32619,1,57.06,YES
11260,1,M,1,3,0,0,105983,0,51.26,NO
18687,1,M,1,1,1,2,128877,1,52.95,YES
25906,1,S,1,2,1,1,55000,1,49.93,YES
22969,1,S,0,1,0,0,50910,0,48.8,NO
29397,0,M,1,2,1,1,57493,1,52.42,YES
25702,1,S,1,0,1,1,82095,1,53.16,YES
12346,0,S,0,2,0,0,136001,0,56.7,NO
18272,1,M,1,3,0,0,104443,1,51.04,YES
25159,1,S,0,1,0,0,59013,0,49.99,NO
25368,0,S,0,1,0,0,54240,0,56.33,NO
13369,1,M,1,3,0,2,103150,1,50.8,YES
18059,1,M,1,3,1,2,108823,1,53.12,YES
12522,1,S,0,2,0,0,77300,0,53.95,NO
16375,1,M,1,2,0,1,82308,1,49.8,YES
17683,1,S,1,1,0,0,129719,0,56.22,NO
14990,0,S,0,0,0,0,36588,0,46.38,NO
29201,1,S,1,3,0,0,81053,0,50.38,NO
15111,1,M,1,0,2,2,35160,1,48.62,YES
25772,0,S,1,1,0,0,57655,0,57.32,NO
12178,0,M,1,2,1,1,61513,1,57.36,YES
14083,0,M,0,0,0,0,57933,1,48.84,YES
14281,0,S,0,2,0,0,104429,1,54.84,YES
19895,0,M,1,0,0,2,32494,1,52.5,YES
11137,1,M,0,2,0,0,51293,0,48.28,NO
19042,0,M,1,3,1,2,78805,1,49.99,YES
14690,0,S,0,1,0,0,33244,0,48.21,NO
20331,0,M,1,1,1,1,30115,1,59.27,YES
16928,0,S,1,1,1,1,55404,1,50.3,YES
12013,1,S,0,0,0,0,34165,0,47.46,NO
17530,0,M,1,2,1,2,57132,1,53.79,YES
27131,0,S,1,2,0,0,132560,0,52.2,NO
26110,0,M,1,1,1,2,53062,1,54.72,YES
13343,1,M,1,0,1,2,79950,1,52.93,YES
29138,0,M,1,2,0,1,83167,1,57.56,YES
22522,0,S,1,0,0,0,77729,1,51.78,YES
18161,1,M,1,1,1,1,54058,1,48.36,YES
27571,1,M,1,1,0,2,87071,1,50.5,YES
16500,1,S,0,0,0,0,26818,0,47.15,NO
14881,0,M,1,0,0,2,52630,1,49.83,YES
26384,0,M,1,2,0,2,83410,1,54.85,YES
26162,1,M,1,2,1,2,83299,1,51.33,YES
27398,1,S,1,1,1,1,54201,0,50.72,NO
13710,1,S,1,2,0,0,133136,1,53.04,YES
21252,0,S,0,2,0,0,60371,1,51.53,YES
14911,1,M,1,1,1,2,55220,1,48.65,YES
22102,0,M,1,1,0,2,85098,0,53.81,NO
28082,0,S,1,2,0,0,129013,1,54.8,YES
29044,1,S,0,2,0,0,106013,1,55.82,YES
26800,1,S,0,2,0,0,77922,1,51.39,YES
16392,1,M,1,3,0,0,104734,0,51.2,NO
11961,1,S,0,2,0,0,83202,0,53.98,NO
25001,0,M,1,1,1,2,61391,1,50.08,YES
21494,1,S,1,0,0,0,82687,0,52.24,NO
21128,0,S,0,1,0,0,83361,0,50.99,NO
15720,1,M,0,2,0,0,57161,1,47.93,YES
15048,1,M,1,3,1,2,109320,1,54.16,YES
26631,0,M,1,1,1,2,27866,0,58.64,NO
20082,1,S,1,1,0,0,53889,0,49.64,NO
22147,0,M,1,0,0,2,53916,1,48.5,YES
16522,1,M,0,1,0,0,56880,0,48.52,NO
22201,1,M,1,3,1,2,85533,1,53.51,YES
25972,1,S,1,1,0,0,109072,0,51.35,NO
17885,0,M,1,4,0,2,110148,0,52.17,NO
13419,1,M,1,2,1,2,103959,1,55.47,YES
15827,1,S,0,1,0,0,54230,0,49.34,NO
26644,1,S,1,2,0,0,133903,1,54.91,YES
20335,0,S,1,1,0,0,79311,1,57.12,YES
28170,1,M,1,2,0,2,84084,1,49.84,YES
26306,0,S,0,2,0,0,54821,1,51.55,YES
14739,0,M,1,2,1,2,77748,1,56.89,YES
19748,0,M,1,0,2,2,27122,0,46.82,NO
