CustomerID;Gender;MaritalStatus;HomeOwnerFlag;NumberCarsOwned;NumberChildrenAtHome;TotalChildren;YearlyIncome;BikeBuyer;AvgMonthSpend
21173;0;M;1;3;0;1;81916;1;51
13249;0;M;1;2;1;2;81076;1;53
29350;1;S;0;3;0;0;86387;1;54
13503;0;M;1;2;1;2;61481;1;57
22803;0;S;1;1;0;0;51804;1;55
22092;1;M;1;2;2;2;61944;1;49
11229;0;S;1;1;0;0;34919;0;56
24179;1;M;0;1;0;0;61832;1;49
12127;1;M;1;0;0;2;83834;1;50
19903;0;S;0;1;0;0;26880;0;54
25924;1;S;0;1;0;0;77258;0;54
23033;0;M;1;3;0;0;102698;0;58
20029;1;M;1;1;1;2;108198;1;53
22031;0;M;1;2;0;2;133762;0;53
23770;0;S;0;1;0;0;30526;0;50
23737;1;M;1;2;0;2;56353;1;49
17127;1;S;1;3;1;1;79019;1;50
28130;0;S;0;2;0;0;55387;1;51
28455;0;M;1;2;0;2;113276;0;59
20161;0;S;1;1;0;1;109259;0;52
21325;1;M;1;0;0;2;83845;0;50
12128;1;M;1;0;2;2;59527;1;53
23679;0;S;1;1;0;1;108360;0;52
26799;0;M;0;1;0;0;87504;0;50
15726;1;M;0;0;0;0;55461;1;49
15473;1;S;1;2;0;0;137464;1;52
28685;0;M;1;2;0;1;87676;1;50
12302;0;M;1;3;0;2;104187;1;51
23523;0;S;0;1;0;0;78222;1;54
18713;1;M;1;2;0;1;77383;0;51
24082;1;M;1;1;2;2;60700;1;49
27886;1;S;0;0;0;0;30913;0;49
21711;1;S;1;2;0;0;86952;1;55
22366;0;M;1;2;1;2;58567;1;56
15010;0;M;0;0;0;0;77478;0;51
22296;0;M;1;2;0;1;78406;0;50
23237;0;S;0;1;0;0;85318;0;51
13832;1;S;0;0;0;0;52928;1;52
26026;1;S;0;2;0;0;79224;1;52
17813;0;M;0;0;0;1;33076;1;53
26369;1;M;1;1;0;2;56641;0;49
18824;0;M;1;0;0;1;27203;0;52
21064;1;S;0;3;0;0;77098;0;50
28532;0;M;1;3;2;2;103200;1;54
16183;1;S;0;2;0;0;53784;0;51
25700;1;S;0;1;0;0;25826;0;48
21746;0;M;1;0;1;1;30925;1;50
26560;1;M;1;1;1;2;30288;0;51
16988;0;S;0;0;0;0;34685;1;48
18562;1;M;0;1;1;1;58213;1;52
14996;0;S;0;0;0;0;108342;1;51
26741;1;M;1;2;1;1;130385;1;56
19490;1;S;0;2;0;0;58227;1;51
12720;0;S;0;1;0;0;52156;1;48
14050;0;S;1;2;0;0;131458;1;57
11926;0;S;0;1;0;0;33510;0;46
28023;1;S;1;1;0;1;56785;0;51
22541;1;S;0;1;0;0;58201;0;51
23192;1;M;1;2;0;1;82359;1;50
24957;1;M;1;2;1;2;55654;1;51
11867;0;M;1;1;1;2;33167;0;59
11929;1;S;1;3;0;1;107883;1;53
27994;1;M;1;1;2;2;80056;1;53
21068;0;S;0;2;0;0;54577;1;50
26332;0;M;0;0;1;1;36070;1;59
20232;0;M;1;2;1;2;54049;1;54
15029;0;S;0;1;0;0;112726;0;56
28907;0;M;1;1;0;2;29749;0;49
11887;0;M;1;2;2;2;56820;1;55
16809;1;S;1;3;0;0;102647;1;52
18033;1;S;0;2;0;0;82258;1;51
27605;0;M;1;1;2;2;54200;1;55
14106;1;S;0;2;0;0;60908;1;52
29293;0;S;1;2;0;0;105007;1;55
17669;1;M;1;0;1;1;32319;1;48
23540;0;S;0;1;0;0;52311;0;57
19710;1;S;1;2;0;0;82851;0;54
21495;0;M;1;1;2;2;29111;0;53
14773;0;M;1;1;1;1;81985;1;52
29082;1;S;1;0;0;0;33954;0;46
14021;1;S;0;0;0;0;29016;0;46
23689;1;M;1;0;1;2;33152;1;50
13485;0;M;1;1;2;2;80331;1;54
14179;1;S;1;1;1;1;79235;0;52
15084;1;S;0;1;0;0;35390;0;50
27193;0;S;0;3;0;0;136457;0;52
20423;1;S;1;1;0;0;53549;0;53
18300;1;M;1;0;1;2;85674;1;51
21781;0;M;1;3;0;2;129242;1;52
28780;1;M;1;1;2;2;61829;1;53
25162;0;S;1;3;0;0;111980;1;60
26829;1;M;1;0;1;1;54675;1;53
11345;1;S;1;3;0;0;106648;1;54
22539;0;S;0;1;0;0;58037;0;53
26226;1;M;1;2;0;1;106062;1;52
22654;0;S;0;1;0;0;28008;0;56
20389;0;M;1;2;0;3;86828;0;51
27716;0;S;0;2;0;0;61109;1;58
23670;1;M;1;1;1;2;35142;0;47
28410;1;M;0;2;0;0;59673;0;49
21755;0;M;1;3;1;2;133272;1;57
12254;0;S;1;3;0;1;81957;0;50
17082;1;S;0;1;0;0;103314;0;53
25122;1;S;1;2;0;0;103546;1;52
25619;0;M;0;0;1;1;58317;1;48
24940;0;M;1;2;0;2;55825;0;49
13117;1;S;0;1;0;0;36367;0;48
12460;1;S;0;2;0;0;107852;1;55
13619;0;M;1;0;0;0;105888;0;51
23455;0;S;0;1;0;0;31956;0;51
20986;1;M;0;0;0;0;83026;1;50
26141;0;S;1;2;0;0;110808;1;57
19074;1;M;1;1;2;2;51566;1;51
23214;1;M;1;3;1;2;132962;1;55
11313;0;S;1;2;0;0;135064;1;56
26113;1;S;1;2;0;0;135997;1;54
15865;1;S;0;1;0;0;57770;0;50
25060;0;S;0;1;0;0;113290;0;55
17902;1;M;1;1;1;2;81214;0;54
27898;1;M;1;2;0;2;80624;0;50
19921;1;S;1;2;0;1;106908;0;53
21186;0;S;0;1;0;0;51796;0;56
19129;0;M;1;2;1;2;80764;1;52
25626;1;M;0;0;0;1;35297;0;47
15009;1;S;0;1;0;0;78604;0;52
22070;0;M;1;3;0;0;102869;0;58
13303;0;M;1;1;1;2;62293;1;54
27822;0;S;0;1;0;0;34607;1;48
14908;1;M;1;2;1;2;53042;1;50
27981;1;S;0;1;0;0;106195;0;55
15995;1;M;1;2;0;2;106360;1;52
23808;0;M;1;2;1;1;110288;1;54
18679;0;S;0;1;0;0;112590;1;53
23721;0;M;1;0;1;2;30844;1;53
21351;0;M;1;2;0;3;109611;0;51
17867;1;S;1;2;0;0;111685;1;53
16907;1;S;1;0;1;1;30259;1;49
20288;0;S;0;2;0;0;82339;0;53
22874;0;S;1;1;0;0;87633;1;61
20681;0;S;0;1;0;0;80782;1;52
15370;1;M;1;1;0;2;57125;1;49
22593;0;S;0;2;0;0;56092;1;50
11884;1;M;1;2;0;0;131943;1;53
25021;0;M;1;2;0;2;52627;0;51
15982;0;M;1;1;0;2;26331;0;54
19088;0;S;0;1;0;0;27908;0;49
19331;0;S;0;1;0;0;56751;0;61
